kind,path,dataset,method,budget,seed,learner,accuracy,auroc,backend,log_loss,train_rows,train_seconds
downstream,adult\full_data\budget_50\seed_0\random_forest\metrics.json,adult,full_data,budget_50,seed_0,random_forest,0.86175,0.9138572647948476,sklearn_random_forest,0.3043994468413438,12000,4.527165200000127
downstream,adult\full_data\budget_50\seed_0\xgboost\metrics.json,adult,full_data,budget_50,seed_0,xgboost,0.859,0.9154183105965256,xgboost,0.3031570742037412,12000,0.2503216999994038
downstream,adult\full_data\budget_50\seed_1\catboost\metrics.json,adult,full_data,budget_50,seed_1,catboost,0.87125,0.9224806228480689,sklearn_hist_gradient_boosting,0.28654715509452977,12000,3.8682947000006607
downstream,adult\full_data\budget_50\seed_1\lightgbm\metrics.json,adult,full_data,budget_50,seed_1,lightgbm,0.86675,0.9201377513922959,lightgbm,0.2932377069747456,12000,0.2493203000003632
downstream,adult\full_data\budget_50\seed_1\mlp\metrics.json,adult,full_data,budget_50,seed_1,mlp,0.23525,0.5,sklearn_mlp,10.565411939507982,12000,4.735421000000315
downstream,adult\full_data\budget_50\seed_1\random_forest\metrics.json,adult,full_data,budget_50,seed_1,random_forest,0.86175,0.9138572647948476,sklearn_random_forest,0.3043994468413438,12000,3.7754539000006844
downstream,adult\full_data\budget_50\seed_1\xgboost\metrics.json,adult,full_data,budget_50,seed_1,xgboost,0.859,0.9154183105965256,xgboost,0.3031570742037412,12000,0.25986250000005384
downstream,adult\full_data\budget_50\seed_2\catboost\metrics.json,adult,full_data,budget_50,seed_2,catboost,0.87125,0.9224806228480689,sklearn_hist_gradient_boosting,0.28654715509452977,12000,4.274927800000114
downstream,adult\full_data\budget_50\seed_2\lightgbm\metrics.json,adult,full_data,budget_50,seed_2,lightgbm,0.86675,0.9201377513922959,lightgbm,0.2932377069747456,12000,0.24642630000016652
downstream,adult\full_data\budget_50\seed_2\mlp\metrics.json,adult,full_data,budget_50,seed_2,mlp,0.23525,0.5,sklearn_mlp,10.565411939507982,12000,3.472704700000577
downstream,adult\full_data\budget_50\seed_2\random_forest\metrics.json,adult,full_data,budget_50,seed_2,random_forest,0.86175,0.9138572647948476,sklearn_random_forest,0.3043994468413438,12000,4.5046205999997255
downstream,adult\full_data\budget_50\seed_2\xgboost\metrics.json,adult,full_data,budget_50,seed_2,xgboost,0.859,0.9154183105965256,xgboost,0.3031570742037412,12000,0.25891409999985626
downstream,adult\gaindistill\budget_10\seed_0\catboost\metrics.json,adult,gaindistill,budget_10,seed_0,catboost,0.76475,0.5,sklearn_hist_gradient_boosting,0.5471106172147409,20,0.25360490000002756
downstream,adult\gaindistill\budget_10\seed_0\lightgbm\metrics.json,adult,gaindistill,budget_10,seed_0,lightgbm,0.76475,0.5,lightgbm,0.5471106172147409,20,0.009971600000426406
downstream,adult\gaindistill\budget_10\seed_0\mlp\metrics.json,adult,gaindistill,budget_10,seed_0,mlp,0.76475,0.5,sklearn_mlp,3.2469963171577043,20,0.02080400000068039
downstream,adult\gaindistill\budget_10\seed_0\random_forest\metrics.json,adult,gaindistill,budget_10,seed_0,random_forest,0.49125,0.6205302101532073,sklearn_random_forest,0.757385111836479,20,0.6768187999996371
downstream,adult\gaindistill\budget_10\seed_0\xgboost\metrics.json,adult,gaindistill,budget_10,seed_0,xgboost,0.4055,0.6342379536143412,xgboost,2.7597040202048437,20,0.05634490000011283
downstream,adult\gaindistill\budget_10\seed_1\catboost\metrics.json,adult,gaindistill,budget_10,seed_1,catboost,0.76475,0.5,sklearn_hist_gradient_boosting,0.5455558716691878,20,0.18400169999949867
downstream,adult\gaindistill\budget_10\seed_1\lightgbm\metrics.json,adult,gaindistill,budget_10,seed_1,lightgbm,0.76475,0.5,lightgbm,0.5455558716691881,20,0.007333100000323611
downstream,adult\gaindistill\budget_10\seed_1\mlp\metrics.json,adult,gaindistill,budget_10,seed_1,mlp,0.76475,0.5,sklearn_mlp,3.2469963171577043,20,0.019802599999820814
downstream,adult\gaindistill\budget_10\seed_1\random_forest\metrics.json,adult,gaindistill,budget_10,seed_1,random_forest,0.58425,0.4644278880910635,sklearn_random_forest,0.7032250160213732,20,0.630644900000334
downstream,adult\gaindistill\budget_10\seed_1\xgboost\metrics.json,adult,gaindistill,budget_10,seed_1,xgboost,0.43875,0.4093077030236729,xgboost,3.410910343120842,20,0.033789400000387104
downstream,adult\gaindistill\budget_10\seed_2\catboost\metrics.json,adult,gaindistill,budget_10,seed_2,catboost,0.76475,0.5,sklearn_hist_gradient_boosting,0.5456278282122549,20,0.157185600000048
downstream,adult\gaindistill\budget_10\seed_2\lightgbm\metrics.json,adult,gaindistill,budget_10,seed_2,lightgbm,0.76475,0.5,lightgbm,0.5456278282122549,20,0.008043199999519857
