dataset,method,method_label,budget,seed,checkpoint,rho_max,rho_mean,rho_p90,rows
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_50,seed_2,1,0.12223269417881966,0.039175022365525364,0.07726824041455996,100
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_50,seed_2,5,0.26891981065273285,0.08189567411784082,0.17413567081093792,100
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_50,seed_2,10,0.43826764822006226,0.14553874102886766,0.2765592813491821,100
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_50,seed_2,25,0.9672257900238037,0.2974555098824203,0.5261684067547322,100
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_50,seed_2,50,1.7284547686576843,0.47746661282144487,0.8540046632289887,100
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_25,seed_0,1,0.14844156056642532,0.08751223381608725,0.12282398715615273,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_25,seed_0,5,0.5718924701213837,0.20721968008205294,0.42462378591299055,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_25,seed_0,10,1.0432408601045609,0.3601288045011461,0.6962203681468965,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_25,seed_0,25,1.7988679558038712,0.7330166170373559,1.4869048193097114,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_25,seed_0,50,2.4664358496665955,1.0990915635414422,1.9543461147695782,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_25,seed_1,1,0.18313337117433548,0.0900986657384783,0.12602810189127922,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_25,seed_1,5,0.6340526044368744,0.30574011559598147,0.4635217018425465,50
