dataset,budget,seed,method,auroc,sld_inf_norm,sld_root_margin_satisfied,sld_root_agreement_direct,sld_margin_satisfied_rate,sld_rank_correlation_direct,sld_inf_raw
agaricus_lepiota,budget_10,seed_2,histdistill_refined,0.763349123967042,27.83060371997327,0.0,0.0,0.0,0.2140808240616651,66.6196789954972
agaricus_lepiota,budget_10,seed_2,random,0.7428000144923598,25.3777082673746,0.0,0.0,0.0,0.2238720342573401,60.74804540443849
agaricus_lepiota,budget_100,seed_0,gain_path_refined,0.9988976748820232,19.11420531218299,0.0,0.0,0.0,0.2966753295488477,36.034487534485365
agaricus_lepiota,budget_100,seed_0,herding,0.9865115380318772,27.569928448704736,0.0,0.0,0.0,0.2984174906964473,51.975388292930425
agaricus_lepiota,budget_100,seed_0,histdistill_density,0.9987566762980474,21.01435986719881,0.0,0.0,0.0,0.2930464669777438,39.61669744109713
agaricus_lepiota,budget_100,seed_0,histdistill_refined,0.99878837833513,19.765088301924965,0.0,0.0,0.0,0.2828766619902505,37.26154534814799
agaricus_lepiota,budget_100,seed_0,random,0.998398292316936,22.273456526596984,0.0,0.0,0.0,0.2714277318234711,41.99037200076492
agaricus_lepiota,budget_100,seed_1,gain_path_refined,0.9982959400257844,17.190453705894974,0.0,0.0,0.0,0.3408790859860144,36.42198936344128
agaricus_lepiota,budget_100,seed_1,herding,0.9865115380318772,25.58348655231577,0.0,0.0,0.0,0.3284889521780618,54.20458883924939
agaricus_lepiota,budget_100,seed_1,histdistill_density,0.9980942546851084,16.47905584651764,0.0,0.0,0.0,0.3340050410978586,34.91472691937147
agaricus_lepiota,budget_100,seed_1,histdistill_refined,0.998082781566926,18.84283364714364,0.0,0.0,0.0,0.3213201563928037,39.92294202438732
agaricus_lepiota,budget_100,seed_1,random,0.9943778701665716,21.72050849094404,0.0,0.0,0.0,0.3055146665103598,46.01996798690737
agaricus_lepiota,budget_100,seed_2,gain_path_refined,0.9980456448949152,17.361877634010447,0.0,0.0,0.0,0.310101036153113,41.56010147587231
agaricus_lepiota,budget_100,seed_2,herding,0.9865115380318772,25.0093868828207,0.0,0.0,0.0,0.2937789983583782,59.86637382256951
agaricus_lepiota,budget_100,seed_2,histdistill_density,0.9978122575171569,17.647703808283648,0.0,0.0,0.0,0.3214972868319107,42.244299640245075
agaricus_lepiota,budget_100,seed_2,histdistill_refined,0.9978430537817512,17.484408658062375,0.0,0.0,0.0,0.3012734967008691,41.85341086906634
agaricus_lepiota,budget_100,seed_2,random,0.9864346983324728,22.192962494929105,0.0,0.0,0.0,0.2964329308214425,53.124540604565276
agaricus_lepiota,budget_200,seed_0,gain_path_refined,0.9992832320377768,19.17149606489109,0.0,0.0,0.0,0.2859058796269944,36.14249322347866
agaricus_lepiota,budget_200,seed_0,herding,0.997720774495862,26.48916714016686,0.0,0.0,0.0,0.2891617073520871,49.93791515375473
agaricus_lepiota,budget_200,seed_0,histdistill_density,0.9992104683145688,19.84472638178629,0.0,0.0,0.0,0.2859877221787515,37.41168067154563
agaricus_lepiota,budget_200,seed_0,histdistill_refined,0.9991739354908834,20.267202469082868,0.0,0.0,0.0,0.2711891588300024,38.20814116010192
agaricus_lepiota,budget_200,seed_0,random,0.9988158534339344,20.43748912711905,0.0,0.0,0.0,0.2632215228081836,38.52916902163604
agaricus_lepiota,budget_200,seed_1,gain_path_refined,0.9990582985365736,17.528201558962575,0.0,0.0,0.0,0.329254787399077,37.137587038896164
agaricus_lepiota,budget_200,seed_1,herding,0.997720774495862,24.582583255499248,0.0,0.0,0.0,0.3157843119885529,52.083941539638936
agaricus_lepiota,budget_200,seed_1,histdistill_density,0.998937528871498,17.637278408581743,0.0,0.0,0.0,0.3457915820951782,37.36869180928769
